X,Y,Name,Descricao,icon_url
-43.066381,-22.954158,A53,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.102446,-22.862601,A54,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.109282,-22.902481,A55,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.10533,-22.903108,A56,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.109509,-22.905899,A57,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.112402,-22.904411,A58,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.101818,-22.908417,A59,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.12281,-22.894277,I01,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.10434,-22.911242,I03,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.113455,-22.895421,I04,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.126272,-22.903643,I06,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.121231,-22.885994,I07,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.118021,-22.892456,I08,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.123283,-22.889749,I09,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.101857,-22.900161,I10,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-43.101807,-22.900207,I11,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.594202,-23.665006,A03,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.591258,-23.669406,A04,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.585282,-23.665928,A05,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.573762,-23.654413,A06,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.568224,-23.65385,A07,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.571058,-23.65828,A08,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.563654,-23.658449,A09,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.560059,-23.662916,A10,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.566544,-23.669085,A11,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.563361,-23.67523,A12,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
-46.562271,-23.684142,A14,BASE_ARD_VIVO2 BASE_ARD_VIVO2.KML,./0.png
